0,Type of Business (Exhibitor/Vendor),Please list the specialty crop(s) that you produce or are contained in your product(s).,Please list the products that you will be promoting at the trade show.,Product Category,Do you use any special production practices?,Special Production Practices,Please specify other production practices.,Peak Season,Max volume capable of adding in a season,The volume you are capable of selling to new wholesale accounts: SPRING,The volume you are capable of selling to new wholesale accounts: SUMMER,The volume you are capable of selling to new wholesale accounts: FALL,The volume you are capable of selling to new wholesale accounts: WINTER
11,Specialty Crop Value-Added Producer (50% or more specialty crop),,MDAR has resources to make connections with food and agricultural businesses in the Bay State!,Other,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
12,Massachusetts Specialty Crop Farm,"Green and Red Leaf Lettuce, Romaine, Kale, Spinach, Rainbow chard.","FreshBox Farms Spring Mix, Romaine, and Spinach",Produce and Value-Added Products,GAP Certification,GAP Certification,,All,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet
13,Specialty Crop Value-Added Producer (50% or more specialty crop),Maple Syrup,"Smoked Maple Syrup,Vermont Maple Sriracha,Smoked Maple Barbeque Sauce",Value-Added Products,Not Applicable,Not Applicable,,All,1-3 pallets,1-3 pallets,1-3 pallets,1-3 pallets,1-3 pallets
14,Massachusetts Specialty Crop Farm,Mushrooms grown on our farm in South Deerfield MA,Mushrooms - wholesale and retail; fresh and dried.,Produce,"Organic Certification,Focus on heirloom varieties or heritage breeds,Other",Multiple Special Practices,CQP certified,All,3-5 pallets,3-5 pallets,3-5 pallets,3-5 pallets,3-5 pallets
15,Massachusetts Specialty Crop Farm,"Rhubarb,Peppers (hot and sweet varieties),Pumpkins,Kale/collards,Cucumber,Eggplant ,Summer squash,Winter squash,Swiss chard,Kohlrabi,Leek,Tomato,Lettuce,Romaine hearts,",Specialty crops,Produce,Other,Other,"IPM, commonwealth quality ",Summer ,More than 20 pallets,3-5 pallets,More than 20 pallets,5-10 pallets,Not Applicable
16,Massachusetts Specialty Crop Farm,"Edible Loufa, Maxixie, Jilo, Chinsaga, Taioba, Lalu, Amaranth (Green, Red, Bi-color), Chipilin, Asian Mustard, African Corn (Maize), Baby Bok choy, Pumpkin Vines, Purslane, Pea Tendrils, Brazillian Squash (aboborah Japonesa), Bitter Melon, Gongura, Bottle Gourd, ","Edible Loufa, Maxixie, Jilo, Chinsaga, Taioba, Lalu, Amaranth (Green, Red, Bi-color), Chipilin, Asian Mustard, African Corn (Maize), Baby Bok choy, Pumpkin Vines, Purslane, Pea Tendrils, Brazillian Squash (aboborah Japonesa), Bitter Melon, Gongura, Bottle Gourd, ",Produce,"Focus on heirloom varieties or heritage breeds,Other",Multiple Special Practices,IPM in conjunction with UMASS scouting,Summer,3-5 pallets,Less than a pallet,3-5 pallets,1-3 pallets,Not Applicable
17,Massachusetts Specialty Crop Farm,"-lettuces,-herbs,-brassicas,-small root vegetables","-Local, hydroponically grown leafy greens,-An on-site vertical farming service with accompanying CSA programs",Produce,GAP Certification,GAP Certification,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
18,Massachusetts Specialty Crop Farm,"Microgreens and edible flowers,Coffee plants,Curry leaf plants","Microgreens, edible flowers and coffee plants",Produce,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
19,Massachusetts Specialty Crop Farm,"organic lettuce, salad greens, heirloom tomatoes, onions, eggplant, peppers, radicchio, herbs, kale, cabbage, broccolini, zucchini and summer squash, cucumbers, fava beans, celery, fennel, carrots, beets, turnips, radishes, leeks, scallions, etc. ,,Sriracha and Salsas made with peppers, tomatoes, tomatillos, onions, all grown on the farm","organic lettuce, salad greens, heirloom tomatoes, onions, eggplant, peppers, radicchio, herbs, kale, cabbage, broccolini, zucchini and summer squash, cucumbers, fava beans, celery, fennel, carrots, beets, turnips, radishes, leeks, scallions, etc. ,,Sriracha and Salsas made with peppers, tomatoes, tomatillos, onions, all grown on the farm",Produce,"Organic Certification,GAP Certification,Focus on heirloom varieties or heritage breeds",Multiple Special Practices,,"Spring, Summer, Fall",5-10 pallets,5-10 pallets,5-10 pallets,5-10 pallets,1-3 pallets
20,Massachusetts Specialty Crop Farm,Fruits and Vegetables,Our fruits and vegetable by photos,Produce,Focus on heirloom varieties or heritage breeds,Focus on heirloom varieties or heritage breeds,,Summer,10-20 pallets,5-10 pallets,10-20 pallets,3-5 pallets,Less than a pallet
21,Massachusetts Specialty Crop Farm,"Medicinal and culinary herbs including hops, nettle, lemon balm, lavender, echinacea, beebalm, hyssop, parsley, rosemary, basil, mints, sage, and many others. Cut flowers include carnation, chrysanthemum, gladiolus, iris, lily, snapdragon, tulip.","hops, lemon balm, nettle, echinacea, patchouli and others.",Plants,"Organic Certification,Other",Multiple Special Practices,GMP (good manufacturing practices),All,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet
22,Massachusetts Specialty Crop Farm,"certified organic vegetables, herbs, and plants",certified organic produce,Produce,"Organic Certification,Focus on heirloom varieties or heritage breeds,Other",Multiple Special Practices,Comonwealth Quality certified,All,More than 20 pallets,More than 20 pallets,More than 20 pallets,More than 20 pallets,More than 20 pallets
23,Specialty Crop Value-Added Producer (50% or more specialty crop),,"Cherry Chakra Dosha Bar,Apple Cran Dosha Bar,Blueberry Dosha Bar",Value-Added Products,"Organic Certification,Other",Multiple Special Practices,SQF Level 3,All,More than 20 pallets,More than 20 pallets,More than 20 pallets,More than 20 pallets,More than 20 pallets
24,Massachusetts Specialty Crop Farm,Loose Leaf Herbal Tea and Dried Culinary Herbs,Loose Leaf Herbal Tea and Dried Culinary Herbs,Produce and Value-Added Products,Other,Other,CHEMICAL FREE GROWING/FARMING,All,1-3 pallets,1-3 pallets,1-3 pallets,1-3 pallets,1-3 pallets
25,Massachusetts Specialty Crop Farm,"Organic Heirloom Tomatoes (Year round),",Tomato Heirloom Sauce,Value-Added Products,"Organic Certification,GAP Certification,Focus on heirloom varieties or heritage breeds",Multiple Special Practices,,"Summer, Fall",10-20 pallets,3-5 pallets,10-20 pallets,10-20 pallets,3-5 pallets
26,Massachusetts Specialty Crop Farm,Locally Grown Gourmet Mushrooms,Fresh Mushrooms,Other,Organic Certification,Organic Certification,,All,1-3 pallets,1-3 pallets,1-3 pallets,1-3 pallets,1-3 pallets
27,Massachusetts Specialty Crop Farm,"Specialty cut flowers: fresh & dried,Edible flowers ,Dye flowers ","Wholesale Specialty Cut-flowers: fresh & dried ,Seasonal Flower Arrangements: wreaths, centerpieces, garlands, bouquets,Edible flowers,Dye flowers (for natural dying)",Plants,Organic Certification,Organic Certification,,"Summer, Fall",1-3 pallets,Less than a pallet,1-3 pallets,1-3 pallets,Not Applicable
28,Massachusetts Specialty Crop Farm,,N/A,Other,Not Applicable,Not Applicable,,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
29,Specialty Crop Value-Added Producer (50% or more specialty crop),California Almonds,"Original Almond Butter,Coconut Almond Butter ",Value-Added Products,Not Applicable,Not Applicable,,All,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet
30,Massachusetts Specialty Crop Farm,"Vegetables-tomatoes, cucumbers, greens, squashes, peppers, sweet corn, potatoes, onions, garlic, carrots, and more,Fruits - berries,Herbs - potted and fresh cut,Eggs - pasture raised chickens",We are a farm so we do not have tastings.,Produce,Other,Other,"Naturally grown - non GMO, no pesticides, no herbicides ","Summer, Fall",More than 20 pallets,1-3 pallets,More than 20 pallets,More than 20 pallets,1-3 pallets
31,Massachusetts Specialty Crop Farm,Coffee beans,Freshly roasted Colombian coffee beans,Other,Not Applicable,Not Applicable,,All,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet
32,Massachusetts Specialty Crop Farm,,Our services,Other,Other,Other,We work with Hospitals to install farm & food systems.,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
33,Specialty Crop Value-Added Producer (50% or more specialty crop),"Hot peppers, carrots, onions, garlic","FireJoy Hot Sauce,FireJoy Cashew Cheese ",Value-Added Products,Focus on heirloom varieties or heritage breeds,Focus on heirloom varieties or heritage breeds,,All,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet,Less than a pallet
34,Massachusetts Specialty Crop Farm,"We produce over 40 organic vegetable, fruit, and herb crops, specializing in garlic, leeks, sweet potatoes, herbs, eggplant, fennel, and tomatoes. ","Lettuce, Salad greens, Kale, Herbs, Roots, Garlic, Leeks, Tomatoes, Peppers, Eggplant, Sweet Potatoes, Sweet Potato Greens",Produce,Organic Certification,Organic Certification,,"Spring, Summer, Fall",3-5 pallets,3-5 pallets,3-5 pallets,3-5 pallets,Not Applicable
